instance_name,dist,gammas,taus,eps_case,Bank1_start,Bank2_start,hedgeT,closestNE_knownmat,closestNEdist_knownmat,closestNE_fresh1,closestNEdist_fresh1,closestNE_moving1,closestNEdist_moving1
"TG_mu0.8_sigma0.3[0.1, 0.9]+-",TG_mu0.8_sigma0.3,"[0.1, 0.9]","[0.3448275862068966, 0.47619047619047616]",+-,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.680035906459333e-56,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.600270251460305e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.365814317383255e-56
"TG_mu0.8_sigma0.3[0.1, 0.9]+-",TG_mu0.8_sigma0.3,"[0.1, 0.9]","[0.3448275862068966, 0.47619047619047616]",+-,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.156243899413664e-56,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.1973295442621738e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.0245881559709633e-55
"TG_mu0.8_sigma0.3[0.1, 0.9]+-",TG_mu0.8_sigma0.3,"[0.1, 0.9]","[0.3448275862068966, 0.47619047619047616]",+-,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.58045357717098e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.906432638958297e-56,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",9.444167463667713e-55
"TG_mu0.8_sigma0.3[0.1, 0.9]+-",TG_mu0.8_sigma0.3,"[0.1, 0.9]","[0.3448275862068966, 0.47619047619047616]",+-,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.1812703139435578e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",9.72196184807068e-56,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.369176870455993e-55
"TG_mu0.8_sigma0.3[0.1, 0.9]+-",TG_mu0.8_sigma0.3,"[0.1, 0.9]","[0.3448275862068966, 0.47619047619047616]",+-,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.154805138263669e-54,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.369761207048951e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.1812765849138974e-54
"TG_mu0.8_sigma0.4[0.3, 0.9]--",TG_mu0.8_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.4499407097827877e-35,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.1610247617594103e-34,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.3485878235958017e-35
"TG_mu0.8_sigma0.4[0.3, 0.9]--",TG_mu0.8_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",7.043123609122859e-35,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.5029900349042923e-35,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.27375342343866e-34
"TG_mu0.8_sigma0.4[0.3, 0.9]--",TG_mu0.8_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.678437772943452e-34,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.416441472735356e-34,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.375189888692566e-33
"TG_mu0.8_sigma0.4[0.3, 0.9]--",TG_mu0.8_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.759096228346152e-34,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.363423551163374e-35,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.04746431792296e-34
"TG_mu0.8_sigma0.4[0.3, 0.9]--",TG_mu0.8_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.813610572091477e-33,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.2443018710339224e-32,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.303032427665185e-33
